dtype,err,gf_1024x768x1024,gf_256x256x256,gf_512x512x512,kc,mc,mr,name,nc,nr,omp,prefetch,score,t,unroll
f64,4.994028870330931e-16,25.78,36.93,38.1,64,256,6,gemm_f64_mr6_nr8_kc64_mc256_nc2048_pf4_u1,2048,8,0,4,33.1033019174109,125.5,1
f64,4.994028870330931e-16,31.29,39.56,34.86,64,512,6,gemm_f64_mr6_nr8_kc64_mc512_nc256_pf4_u1,256,8,0,4,35.076400452026725,126.4,1
f64,4.994028870330931e-16,27.46,36.57,36.33,64,512,6,gemm_f64_mr6_nr8_kc64_mc512_nc512_pf4_u1,512,8,0,4,33.16535784307714,127.3,1
f64,4.994028870330931e-16,22.26,38.1,33.92,64,512,6,gemm_f64_mr6_nr8_kc64_mc512_nc1024_pf4_u1,1024,8,0,4,30.64330757430324,128.3,1
f64,4.994028870330931e-16,21.99,39.03,35.07,64,512,6,gemm_f64_mr6_nr8_kc64_mc512_nc2048_pf4_u1,2048,8,0,4,31.106117118980066,129.3,1
f64,2.932366082577094e-16,38.16,39.31,39.74,128,64,6,gemm_f64_mr6_nr8_kc128_mc64_nc256_pf4_u1,256,8,0,4,39.06458360762667,130.1,1
f64,2.932366082577094e-16,38.51,39.09,41.26,128,64,6,gemm_f64_mr6_nr8_kc128_mc64_nc512_pf4_u1,512,8,0,4,39.60283819042656,130.9,1
f64,2.932366082577094e-16,37.77,39.62,39.37,128,64,6,gemm_f64_mr6_nr8_kc128_mc64_nc1024_pf4_u1,1024,8,0,4,38.91269711427806,131.7,1
f64,2.932366082577094e-16,37.67,39.67,39.88,128,64,6,gemm_f64_mr6_nr8_kc128_mc64_nc2048_pf4_u1,2048,8,0,4,39.061279088665486,132.5,1
f64,2.932366082577094e-16,32.23,40.92,38.47,128,128,6,gemm_f64_mr6_nr8_kc128_mc128_nc256_pf4_u1,256,8,0,4,37.02288688388762,133.4,1
f64,2.932366082577094e-16,28.74,37.46,38.11,128,128,6,gemm_f64_mr6_nr8_kc128_mc128_nc512_pf4_u1,512,8,0,4,34.489747933038586,134.3,1
f64,2.932366082577094e-16,28.92,40.64,38.48,128,128,6,gemm_f64_mr6_nr8_kc128_mc128_nc1024_pf4_u1,1024,8,0,4,35.62658217875468,135.2,1
f64,2.932366082577094e-16,28.97,39.09,38.19,128,128,6,gemm_f64_mr6_nr8_kc128_mc128_nc2048_pf4_u1,2048,8,0,4,35.10402610819853,136.1,1
