dtype,m,k,n,gf_legacy,gf_pack,gf_dot,best
f32,8,512,256,47.179,23.289,35.356,legacy
f32,8,512,512,47.674,22.222,37.52,legacy
f32,16,512,1,3.984,1.037,2.973,legacy
f32,16,512,4,10.016,2.228,19.332,dot
f32,16,512,10,13.575,5.436,17.056,dot
f32,16,512,16,15.418,8.49,15.771,dot
f32,16,512,32,17.148,19.395,17.967,pack
f32,16,512,48,17.846,16.456,18.625,dot
f32,16,512,64,18.149,21.331,19.103,pack
f32,16,512,96,33.127,37.075,35.149,pack
f32,16,512,128,54.252,33.292,52.21,legacy
f32,16,512,256,48.771,37.096,52.512,dot
f32,16,256,512,58.159,39.405,53.127,legacy
f32,24,512,1,5.073,0.675,3.733,legacy
f32,24,512,4,19.185,2.538,14.836,legacy
f32,24,512,10,34.086,6.176,30.446,legacy
f32,24,512,16,16.787,10.111,19.745,dot
f32,24,512,32,17.847,24.864,39.349,dot
f32,24,512,48,28.223,22.227,20.428,legacy
f32,24,512,64,40.291,32.505,20.886,legacy
f32,24,512,96,50.23,47.031,56.118,dot
f32,24,512,128,56.424,42.318,59.146,dot
f32,24,256,256,52.839,48.837,58.334,dot
f32,24,256,512,58.583,46.78,58.688,dot
f32,32,512,1,6.173,0.715,3.872,legacy
f32,32,512,4,13.015,2.701,14.45,dot
f32,32,512,10,16.117,6.45,11.715,legacy
f32,32,512,16,17.295,10.217,17.151,legacy
f32,32,512,32,18.122,17.245,17.999,legacy
f32,32,512,48,34.395,42.423,37.57,pack
f32,32,512,64,52.319,38.139,47.809,legacy
f32,32,512,96,55.673,50.033,47.465,legacy
f32,32,512,128,58.636,47.518,57.236,legacy
f32,32,256,256,58.009,56.669,54.3,legacy
f32,32,256,512,49.594,52.432,50.667,pack
f32,48,512,1,8.068,0.728,4.291,legacy
f32,48,512,4,27.517,3.651,17.817,legacy
f32,48,512,10,17.081,10.874,13.151,legacy
f32,48,512,16,17.87,11.589,20.764,dot
f32,48,512,32,36.756,32.266,33.53,legacy
f32,48,512,48,53.838,54.768,60.288,dot
f32,48,512,64,52.12,46.422,64.463,dot
f32,48,256,96,57.885,61.215,53.72,pack
f32,48,256,128,59.183,54.259,53.812,legacy
f32,48,256,256,53.909,62.588,64.493,dot
f32,48,256,512,52.176,62.368,60.918,pack
f32,64,512,1,9.436,1.386,4.496,legacy
f32,64,512,4,15.496,5.637,17.72,dot
f32,64,512,10,17.364,15.005,13.107,legacy
f32,64,512,16,17.996,24.413,47.282,dot
f32,64,512,32,54.436,33.538,52.763,legacy
f32,64,512,48,55.583,52.294,61.506,dot
f32,64,512,64,56.262,54.562,59.743,dot
f32,64,256,96,58.638,64.023,53.401,pack
f32,64,256,128,57.79,61.955,55.209,pack
f32,64,256,256,63.339,69.928,65.198,pack
f32,64,256,512,59.708,65.576,58.491,pack
f32,96,512,1,11.203,1.872,4.775,legacy
f32,96,512,4,16.321,7.524,19.779,dot
f32,96,512,10,21.31,14.475,16.895,legacy
f32,96,512,16,25.347,29.198,32.461,dot
f32,96,512,32,56.108,38.94,57.491,dot
f32,96,256,48,57.422,65.589,60.468,pack
f32,96,256,64,53.22,59.578,61.098,dot
f32,96,256,96,59.132,74.093,62.751,pack
f32,96,256,128,53.47,64.481,70.451,dot
f32,96,256,256,64.603,72.317,69.221,pack
f32,96,256,512,47.265,73.392,56.918,pack
f32,128,512,1,11.924,2.347,4.926,legacy
f32,128,512,4,16.95,9.044,24.034,dot
f32,128,512,10,47.481,22.296,30.257,legacy
f32,128,512,16,50.769,35.034,47.508,legacy
f32,128,512,32,57.626,44.21,62.068,dot
f32,128,256,48,56.796,60.262,57.245,pack
f32,128,256,64,58.672,59.707,66.87,dot
f32,128,256,96,61.743,76.954,67.778,pack
f32,128,256,128,52.563,67.874,67.12,pack
f32,128,256,256,63.149,74.409,62.686,pack
f32,128,256,512,47.013,74.759,54.514,pack
f32,256,512,1,14.103,2.468,5.125,legacy
f32,256,512,4,17.756,9.722,20.523,dot
f32,256,512,10,18.354,23.733,36.381,dot
f32,256,512,16,50.72,34.247,61.678,dot
f32,256,256,32,56.677,47.978,60.266,dot
f32,256,256,48,58.892,74.935,59.81,pack
f32,256,256,64,63.824,69.15,68.66,pack
f32,256,256,96,64.004,82.892,72.884,pack
f32,256,256,128,64.971,72.159,72.88,dot
f32,256,256,256,62.996,82.427,72.255,pack
f32,256,256,512,58.457,82.449,63.064,pack
f32,512,512,1,15.158,2.423,11.455,legacy
f32,512,512,4,21.064,9.713,53.082,dot
f32,512,256,10,48.517,25.593,38.623,legacy
f32,512,256,16,55.155,39.912,61.102,dot
f32,512,256,32,52.822,48.304,68.939,dot
f32,512,256,48,62.621,76.013,68.99,pack
f32,512,256,64,53.39,66.31,68.753,dot
f32,512,256,96,63.708,81.675,71.103,pack
f32,512,256,128,49.433,75.949,57.576,pack
f32,512,256,256,62.258,84.635,69.407,pack
f32,512,256,512,49.295,85.122,66.259,pack
f32,768,768,768,54.879,85.158,71.112,pack
f32,1024,768,1024,55.48,81.176,77.553,pack
f32,64,3072,768,41.023,65.049,59.383,pack
f32,512,16,512,16.639,73.461,16.186,pack
f32,2048,128,128,42.303,74.229,53.589,pack
f32,32,768,3072,47.437,52.448,52.527,dot
